category,metric,baseline_median,substrate_median,ratio,ci_lo,ci_hi,mw_z,mw_p,pass_10x
cold,total_ms,33.625,34.734,0.968,0.950,0.979,3.973,3.547e-5,0
warm,mean_frame_ms,0.207,0.001,206.500,104.000,213.000,-9.448,0.000e+0,1
update,mean_update_ms,0.223,0.094,2.372,2.265,2.457,-9.448,0.000e+0,0
borrow,mean_borrow_ms,0.026,0.028,0.929,0.929,1.071,1.383,8.333e-2,0
