timestamp,vendor,model,condition,question_id,input_tokens,output_tokens,cost_usd,cumulative_total_usd
2026-04-21T00:25:15.696333+00:00,anthropic,claude-haiku-4-5-20251001,hot,Q01,4381,155,0.005156,0.005156
2026-04-21T00:25:18.292685+00:00,anthropic,claude-opus-4-7,hot,Q01,6309,87,0.10116,0.106316
2026-04-21T00:25:22.932732+00:00,google,gemini-2.5-flash,hot,Q01,4327,16,0.000659,0.106975
2026-04-21T00:25:28.193500+00:00,google,gemini-2.5-pro,hot,Q01,4327,31,0.005564,0.112539
2026-04-21T00:25:32.860527+00:00,openai,gpt-4o-mini,hot,Q01,3850,13,0.000585,0.113124
2026-04-21T00:25:35.225233+00:00,openai,gpt-4o,hot,Q01,3850,13,0.009755,0.122879
2026-04-21T00:25:42.377406+00:00,perplexity,sonar,hot,Q01,0,0,0.0,0.122879
2026-04-21T00:25:49.370997+00:00,perplexity,sonar-pro,hot,Q01,0,0,0.0,0.122879
